team_id,player_id,player_name,shirt_number,position,mins_played,accurateBackZonePass,accurateChippedPass,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLongBalls,accuratePass,aerialWon,attemptsConcededIbox,attemptsConcededObox,ballRecovery,bigChanceSaves,carries,diveSave,divingSave,duelWon,effectiveClearance,finalThirdEntries,fwdPass,gameStarted,goalKicks,goalsConceded,goalsConcededIbox,keeperPickUp,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,minsPlayed,openPlayPass,passesLeft,passesRight,possLostAll,possLostCtrl,progressiveCarries,punches,rightsidePass,savedIbox,savedObox,saves,standSave,successfulFinalThirdPasses,successfulOpenPlayPass,totalBackZonePass,totalChippedPass,totalClearance,totalFinalThirdPasses,totalFwdZonePass,totalKeeperSweeper,totalLaunches,totalLongBalls,totalPass,touches,winningGoal,timesTackled,formationPlace,accurateThrows,attemptedTackleFoul,blockedPass,challengeLost,crosses18yard,duelLost,fouls,headPass,interception,interceptionWon,penAreaEntries,possWonAtt3rd,possWonMid3rd,putThrough,successfulPutThrough,totalCross,totalCrossNocorner,totalSubOff,totalTackle,totalThrows,touchesInFinalThird,turnover,unsuccessfulTouch,wonCorners,wonTackle,aerialLost,attOboxTarget,attObxCentre,attOpenplay,attRfTarget,attRfTotal,attSvLowCentre,attemptsObox,backwardPass,effectiveHeadClearance,headClearance,offsideProvoked,ontargetScoringAtt,outfielderBlock,possWonDef3rd,totalScoringAtt,touchesInOppBox,yellowCard,totalContest,wonContest,blockedCross,effectiveBlockedCross,shieldBallOop,accurateCross,accurateCrossNocorner,accurateLayoffs,attBxLeft,attBxRight,attFastbreak,attGoalHighLeft,attIboxGoal,attIboxTarget,attRfGoal,attSvLowLeft,attemptsIbox,bigChanceCreated,bigChanceScored,crosses18yardplus,errorLeadToShot,goalAssist,goalAssistIntentional,goalAssistOpenplay,goals,goalsOpenplay,ontargetAttAssist,shotFastbreak,totalAttAssist,totalFastbreak,totalFlickOn,totalLayoffs,totalPullBack,accurateFreekickCross,attAssistOpenplay,attBxCentre,attHdTarget,attHdTotal,cornerTaken,freekickCross,redCard,totalCornersIntobox,wasFouled,attCorner,attLfTarget,attLfTotal,attSvHighCentre,fouledFinalThird,totalOffside,attCmissLeft,attGoalLowLeft,attHdMiss,attIboxMiss,attLfGoal,attMissLeft,bigChanceMissed,dispossessed,overrun,shotOffTarget,accurateFlickOn,totalSubOn,offtargetAttAssist,totalHighClaim,attCmissRight,attMissRight,clearanceOffLine,attHdPost,attIboxPost,attOboxBlocked,attPostHigh,blockedScoringAtt,hitWoodwork,postScoringAtt,attMissHigh,attIboxBlocked,attOboxMiss,totalThroughBall,attPostLeft,attSvHighRight,accurateThroughBall,attFreekickMiss,attFreekickTotal,attMissHighLeft,attSvLowRight,accuratePullBack,attHdGoal
63f5h8t5e9qm1fqmvfkb23ghh,w503zyr8ipyobglth281uklx,Álex Remiro,1,Goalkeeper,90,10,1,9,5,1,1,7,12,19,1,18,7,8,3,2,3,6,1,1,13,36,1,10,1,1,8,2,2,27,9,2,90,21,12,4,22,22,1,1,2,6,2,8,1,4,10,14,2,1,13,26,1,20,33,40,51,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63f5h8t5e9qm1fqmvfkb23ghh,d4tdx2ctadv6kc3tbq4as8bmx,Sergio Gómez,17,Defender,69,5,,5,,,,1,1,10,,14,5,2,,2,,,3,1,4,8,1,,,,,,,5,2,,69,15,6,1,11,11,,,7,,,,,2,10,6,1,1,5,10,,2,4,15,33,0,0,3,4,1,1,6,1,8,2,3,1,1,3,1,1,2,1,1,1,1,3,7,9,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63f5h8t5e9qm1fqmvfkb23ghh,48gjuou5eashpj8wbwd18iju1,Igor Zubeldia,5,Defender,90,13,,4,7,,,,,17,1,18,7,2,,2,,,2,8,1,8,1,7,1,1,,,2,3,1,1,90,13,1,1,3,3,1,,8,,,,,1,10,14,,8,1,6,,1,1,20,37,0,0,6,,1,,,,3,1,4,2,2,,,1,1,,,,,1,,2,,,1,1,2,1,1,1,1,1,1,1,2,3,3,2,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63f5h8t5e9qm1fqmvfkb23ghh,8krgbfnydbtyongkwnsaj43kk,Jon Martín,31,Defender,90,7,,1,,,,,,8,,18,7,1,,1,,,2,5,2,1,1,,1,1,,,3,1,,2,90,8,,2,5,5,,,4,,,,,1,7,7,1,5,3,3,,,1,10,23,0,2,5,,1,,,,5,1,2,,,,,,,,,,,1,,1,1,1,1,,2,,,,,,,,2,3,3,1,,2,1,,1,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63f5h8t5e9qm1fqmvfkb23ghh,ezbplvktzcvzh5kwur32110mi,J. Aramburu,2,Defender,82,10,,2,,,,,,12,,15,5,5,,5,,,3,4,1,11,1,,1,1,,,4,2,1,,82,17,,2,7,7,3,,,,,,,1,12,12,1,4,3,6,,2,3,17,31,0,0,2,1,1,1,,1,5,2,4,1,1,3,,1,2,1,1,1,1,2,2,6,,,,1,3,,,,,,,,2,2,2,,,,4,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63f5h8t5e9qm1fqmvfkb23ghh,7pmigpf4yfi6dfih8e1ogdwb9,Gonçalo Guedes,11,Midfielder,90,4,1,5,,,,,3,8,2,18,7,5,,9,,,7,1,4,7,1,,1,1,,,3,4,1,1,90,19,1,4,19,19,6,,6,,,,,2,8,7,2,1,9,14,,1,5,19,39,1,3,11,,,,6,,10,,5,,,2,,2,4,,2,2,,4,,15,3,3,1,3,1,,,2,1,2,,,3,1,1,,2,,3,2,6,,4,1,,,,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63f5h8t5e9qm1fqmvfkb23ghh,dsmcqfl0e1be4ag7czbnolo15,Carlos Soler,18,Midfielder,88,13,3,7,1,,,,2,18,1,16,5,4,,4,,,7,2,5,7,1,1,1,1,,,2,2,1,,88,20,3,1,7,7,2,,7,,,,,4,17,13,4,2,7,13,,,3,21,41,0,0,8,,3,2,2,,5,3,,1,1,5,1,2,2,2,5,2,,5,,12,1,1,1,3,,,,1,,,,,5,,,,1,,1,1,2,,,,,,,2,2,,,,,,,1,,1,1,1,,,,1,1,1,,,2,,2,,,,,2,1,1,1,1,3,2,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63f5h8t5e9qm1fqmvfkb23ghh,et849xmcdgsy5itb8i4w7qkq2,Beñat Turrientes,8,Midfielder,58,6,,2,,,,,,8,,13,5,3,,1,,,2,1,1,8,1,,,,,,2,1,,1,58,12,1,,6,6,1,,1,,,,,,7,9,1,1,2,4,,,,13,19,0,0,4,,,,,,1,1,1,,,,,,,,,,1,1,,2,,,,1,,1,1,,,,,1,2,,,,1,1,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63f5h8t5e9qm1fqmvfkb23ghh,1qkep5ck252k1g3oqza5ygh61,T. Kubo,14,Midfielder,69,4,1,6,,,,,,10,,14,5,,,5,,,3,2,2,2,1,,,,,,6,,,1,69,11,,2,10,10,4,,1,,,,,5,9,6,2,2,5,6,,,,12,27,0,3,7,,,,2,,6,1,1,1,1,2,,,1,,,,1,,,11,5,5,,,,,,,,,,,3,1,1,,,,,,1,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,2,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63f5h8t5e9qm1fqmvfkb23ghh,b45ryclny991bm7qosieyg1cl,Mikel Oyarzabal,10,Striker,90,10,2,2,,,,,2,12,1,18,7,4,,4,,,3,3,2,6,1,,1,1,,,3,2,1,,90,15,2,1,14,14,1,,3,,,,,1,11,11,4,3,2,5,,,3,16,37,0,4,9,,,1,,,10,,,,,1,,1,2,1,,,,2,,7,5,5,,,6,,,2,,,,,4,2,2,,1,,3,2,5,,1,,,,,,,,,,,,1,,,,2,,1,,,,,,1,1,,,,,,,,,,1,,1,,,,,,,,1,,,2,1,1,1,1,1,1,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
63f5h8t5e9qm1fqmvfkb23ghh,dvrk8qmt9ta4c3kvjgsad7t91,Brais Méndez,23,Striker,58,5,,3,,,,,,8,,13,5,1,,4,,,1,1,1,6,1,,,,,,3,1,1,,58,15,4,2,9,9,1,,3,,,,,1,8,7,,1,4,8,,,,15,21,0,2,10,,,,,,4,,5,1,1,,,1,1,,,,1,,,5,,,,,2,,,,,,,,3,1,1,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63f5h8t5e9qm1fqmvfkb23ghh,21vx56lpd276xqbu11ubkf78q,Ander Barrenetxea,7,Substitute,21,,,3,,,,,,3,1,4,2,1,,,,,1,,2,4,,,1,1,,,,1,,,21,6,1,1,8,8,,,2,,,,,3,2,1,1,,6,8,,2,2,7,14,0,1,0,,,1,1,,4,,2,,,3,1,,1,1,2,,,,,8,,,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,2,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
63f5h8t5e9qm1fqmvfkb23ghh,e35v2pspdgl7t769d57e67ob9,Aritz Elustondo,6,Substitute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63f5h8t5e9qm1fqmvfkb23ghh,706la37b8u3v3n6mqtbjs73mc,Jon Gorrotxategi,4,Substitute,32,6,,4,,,,,1,10,,5,2,5,,3,,,3,,1,1,,,1,1,,,3,1,1,,32,11,1,1,3,3,2,,6,,,,,2,10,6,,,3,5,,1,2,11,19,0,0,0,,,1,1,,1,,,1,1,1,,3,1,1,,,,,,5,2,2,,,,,,,,,,,1,,,,,,2,,1,,2,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
63f5h8t5e9qm1fqmvfkb23ghh,dci5jbkxxr0wddazufgbysxec,Mikel Goti,22,Substitute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63f5h8t5e9qm1fqmvfkb23ghh,dqiuqhsqsayvldfazfnp8d46i,Jon Karrikaburu,19,Substitute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63f5h8t5e9qm1fqmvfkb23ghh,b2xlrg9xvucrut2fhmvsgjuqy,Unai Marrero,13,Substitute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
